player_name,conf,yr,role,Min_per,pts
Derrick Walker,B10,Sr,C,31.7,5.875
Zach Kent,MEAC,Jr,Stretch 4,47.0,9.7647
Omar Habwe,AE,Sr,Wing G,39.9,7.2
Mike Okauru,CAA,Sr,Combo G,83.7,14.2353
Isaac Kante,NEC,Sr,PF/C,79.0,12.8696
Jay Jay Chandler,SB,Sr,Wing G,49.4,8.1765
Antwan Walker,A10,Sr,PF/C,55.3,9.12
Keith Williams,CUSA,Sr,Wing G,68.2,14.3478
Mamoudou Diarra,OVC,Sr,PF/C,14.2,2.2667
Galen Alexander,SWAC,Sr,Wing G,59.6,9.68
Gabe Osabuohien,B12,Sr,Wing F,43.6,1.6552
Darious Hall,ASun,Sr,Wing F,46.8,4.9444
Isiah Jasey,Amer,Sr,C,45.3,3.6471
Savion Flagg,WAC,Sr,Stretch 4,61.7,8.8235
Musa Jallow,CUSA,Sr,Wing G,32.3,2.9231
Royce Hamm Jr.,MWC,Sr,PF/C,17.7,1.9091
Brady Manek,ACC,Sr,Stretch 4,57.3,10.92
Jordan Usher,ACC,Sr,Wing G,71.8,11.6154
Chyree Walker,BSth,Sr,Wing F,63.4,6.6296
Kane Williams,SB,Sr,Scoring PG,75.5,12.7619
Mark Smith,B12,Sr,Wing G,73.2,9.7308
Jack Nunge,BE,Jr,PF/C,27.7,7.1364
Daejon Davis,P12,Sr,Combo G,32.1,10.3077
Cheikh Mbacke Diong,Amer,Sr,C,71.8,8.963
Donnie Tillman,WAC,Sr,Wing F,57.9,11.6111
Josh Anderson,CUSA,Sr,Wing G,65.0,9.2222
Teddy Allen,WAC,Sr,Wing G,55.5,16.3636
Victor Bailey Jr.,SEC,Sr,Combo G,63.3,10.8889
Chris Vogt,B10,Sr,C,48.6,4.9565
Abu Kigab,MWC,Sr,Wing F,61.9,11.8
Mike Adewunmi,WAC,Sr,Wing F,72.2,13.0385
KeyShawn Feazell,BE,Sr,C,72.2,13.1429
Darius Banks,SC,Sr,Wing G,41.5,11.1667
Darryl Morsell,BE,Sr,Wing G,71.9,8.9667
Ishmael El-Amin,A10,Sr,Combo G,82.9,16.1739
D'Shawn Schwartz,A10,Sr,Wing F,65.5,9.3333
Marcus Santos-Silva,B12,Sr,PF/C,58.5,8.3103
Kimani Lawrence,P12,Sr,Wing F,54.7,8.087
