player_name,conf,yr,role,Min_per,pts
Tre Mitchell,B12,Jr,PF/C,68.1,18.7692
Josh Pierre-Louis,BW,Jr,Combo G,29.8,6.1304
Greg Gantt,ACC,Jr,Wing F,52.5,4.0
Isiaih Mosley,MVC,Jr,Wing G,85.9,19.7917
Isaiah Hill,MWC,Jr,Scoring PG,76.5,10.2083
Dexter Akanno,P12,So,Wing G,5.8,0.6667
Orlando Robinson,MWC,Jr,PF/C,81.0,14.5833
Jae'Lyn Withers,ACC,So,PF/C,63.9,10.0
Kalib Boone,B12,Jr,C,50.4,9.4
Marcus Watson,BSth,So,Stretch 4,11.5,3.4167
Keylan Boone,B12,Jr,PF/C,32.2,4.3704
Avery Anderson III,B12,Jr,Combo G,67.1,12.1852
Christian Koloko,P12,Jr,C,43.0,5.2692
Keyshaun Langley,SC,Jr,Scoring PG,64.8,10.0333
Donta Scott,B10,Jr,Stretch 4,76.3,10.9677
Babatunde Akingbola,SEC,Jr,C,27.1,1.8889
Makhi Mitchell,A10,Jr,C,11.1,5.8571
Makhel Mitchell,A10,Jr,C,54.6,9.56
Devan Cambridge,SEC,Jr,Wing G,62.7,8.9259
Dardan Kapiti,CUSA,Jr,C,16.3,2.0
Isaiah Mobley,P12,Jr,PF/C,66.9,9.875
Dearon Tucker,MVC,Jr,C,20.9,2.6897
Gianni Hunt,P12,Jr,Scoring PG,48.6,5.1935
Tyrese Samuel,BE,Jr,Stretch 4,42.3,5.3704
Paul Mulcahy,B10,Jr,Wing G,67.8,5.8929
Caleb Grill,B12,Jr,Combo G,84.7,9.1481
Kamari Williams,MAC,Jr,Wing G,23.1,2.6
RaeQuan Battle,BSky,Jr,Wing G,23.8,4.6429
Malcolm Dandridge,Amer,Jr,C,28.3,3.7692
Lester Quinones,Amer,Jr,Wing G,65.9,9.5357
Moulaye Sissoko,A10,So,C,13.6,1.4286
Tyson Jackson,Slnd,Jr,C,27.4,2.95
Matt van Komen,WCC,Jr,C,3.4,0.7692
Golden Dike,Pat,Jr,C,61.3,7.1176
Iverson Molinar,SEC,Jr,Combo G,73.0,16.6667
Quincy Olivari,CUSA,Jr,Wing G,73.6,16.25
Wendell Moore Jr.,ACC,Jr,Wing G,68.1,9.7083
Oscar Tshiebwe,SEC,Jr,C,16.9,8.5
J'Wan Roberts,Amer,So,PF/C,19.3,1.92
D.J. Jeffries,SEC,Jr,Wing F,64.1,9.8571
Hason Ward,A10,Jr,C,53.5,6.4231
John-Michael Wright,BSth,Jr,Combo G,76.3,20.7273
Justin Moore,BE,Jr,Wing G,81.5,12.88
C.J. Walker,Amer,Jr,C,58.4,7.0476
Chandler Lawson,Amer,Jr,Wing F,45.3,4.3571
Christian Ray,A10,Jr,Wing F,62.8,7.52
Sam Freeman,WCC,Jr,C,10.6,1.0556
Brycen Goodine,BE,Jr,Wing G,12.9,1.625
Quincy Guerrier,P12,Jr,PF/C,81.8,13.6786
Jesse Edwards,ACC,Jr,C,14.2,1.8889
Tyson Etienne,Amer,Jr,Combo G,86.4,16.3182
Darin Green Jr.,Amer,Jr,Wing G,78.9,11.3043
T.J. Bickerstaff,ACC,Jr,Wing F,60.9,10.2
Patrick McCaffery,B10,So,Wing F,36.2,5.2258
Essam Mostafa,SB,So,PF/C,63.1,12.1538
Branden Carlson,P12,Jr,PF/C,58.0,9.36
Kwane Marble II,WCC,Jr,Wing G,52.3,9.5217
Olivier Nkamhoua,SEC,Jr,C,16.0,2.4167
Kenan Blackshear,MWC,Jr,Wing G,62.7,9.4348
Rodney Howard,ACC,Jr,C,13.6,1.6316
Casey Morsell,ACC,Jr,Wing G,34.2,4.3913
Harlond Beverly,ACC,Jr,Combo G,50.3,6.7368
Isaiah Wong,ACC,Jr,Wing G,88.4,17.1111
Sammy Hunter,SEC,Jr,Stretch 4,17.5,2.24
Donovan Williams,MWC,Jr,Wing G,14.2,3.2667
Joel Soriano,BE,Jr,C,65.0,10.4286
Christian Braun,B12,Jr,Wing G,78.3,9.7
Tristan Enaruna,B12,Jr,Wing F,18.9,2.84
Jalen Wilson,B12,So,Stretch 4,68.8,11.7586
Jahcobi Neath,B10,Jr,Combo G,35.0,3.75
Dischon Thomas,MWC,Jr,PF/C,31.6,5.2069
Jahmir Young,CUSA,Jr,Combo G,91.4,17.96
Caleb Stone-Carrawell,OVC,So,Wing F,13.1,1.9231
RayJ Dennis,MAC,Jr,Combo G,67.6,8.5714
Josiah-Jordan James,SEC,Jr,Stretch 4,60.8,8.04
Drew Pember,BSth,Jr,Wing F,2.8,0.2
Kenny Foster,MWC,Jr,Wing G,41.3,9.0588
Sean Bairstow,MWC,Jr,Wing F,23.1,3.72
Antavion Collum,BW,Jr,Wing F,2.8,1.125
Mike Peake,WAC,Jr,PF/C,60.3,10.7037
Nick Ongenda,BE,Jr,C,40.8,5.7059
Mattia Acunzo,Horz,So,Stretch 4,37.0,5.9333
Qudus Wahab,B10,Jr,C,69.0,12.6923
Timothy Ighoefe,BE,Jr,C,20.9,2.5
Chris Moore,SEC,So,Wing F,26.1,2.84
Mwani Wilkinson,SEC,So,Wing G,39.4,3.5556
Kris Murray,B10,So,Wing F,3.4,0.6154
Dylan Addae-Wusu,BE,So,Combo G,51.1,6.4815
Matthew Nicholson,B10,So,C,2.0,1.0
Jeremiah Williams,Amer,So,Scoring PG,81.6,9.25
Tari Eason,SEC,So,PF/C,49.0,7.4348
Tegra Izay,A10,So,C,8.3,0.9091
Jaylen Clark,P12,So,PF/C,21.0,2.5161
Keon Ambrose-Hylton,SEC,So,C,5.7,1.1667
DeMarr Langford Jr.,ACC,So,Wing G,56.6,6.7222
Caleb Love,ACC,So,Scoring PG,69.1,10.5172
Coleman Hawkins,B10,So,Stretch 4,12.5,1.44
DJ Gordon,A10,So,PF/C,2.1,0.5
Andre Henry,BW,So,Wing G,27.6,2.84
Caleb Murphy,Amer,So,Scoring PG,56.2,8.3333
Deivon Smith,ACC,So,Combo G,55.5,5.2424
Andersson Garcia,SEC,So,Wing F,2.7,2.2727
Silas Mason,BSth,So,PF/C,14.7,1.3529
Anwar Gill,A10,So,Wing G,42.1,6.1364
Dean Reiber,B10,So,PF/C,6.8,0.8462
Mike Miles,B12,So,Combo G,78.8,13.56
Rondel Walker,B12,So,Wing G,60.4,7.7931
Matthew-Alexander Moncrieffe,B12,So,PF/C,50.0,8.8571
Jabari Walker,P12,So,PF/C,28.8,7.6154
Jonathan Davis,B10,So,Wing G,60.2,7.0323
Bryce Thompson,B12,So,Wing G,27.4,4.55
Trey Galloway,B10,So,Combo G,43.9,3.6
Kendall Munson,WCC,So,C,16.8,4.2
Adama Sanogo,BE,So,C,42.4,7.3478
Xavier Foster,B12,So,PF/C,5.7,4.0
Lynn Kidd,ACC,So,C,3.4,1.1429
Dawson Garcia,ACC,So,Stretch 4,74.0,13.0
PJ Hall,ACC,So,PF/C,21.6,3.5238
Grant Huffman,A10,So,Combo G,34.3,3.3636
Andre Jackson,BE,So,Wing F,27.8,2.6875
Xavion Brown,SB,So,Wing G,14.4,1.625
Hayden Hefner,SEC,So,Wing G,24.9,2.0667
Quincy Ballard,ACC,So,C,6.1,1.2222
Nicquel Blake,WCC,So,Combo G,50.5,6.4815
Moussa Cisse,B12,So,C,46.4,6.5714
Walker Kessler,SEC,So,C,21.9,4.3793
Ryan Kalkbrenner,BE,So,C,34.2,5.871
Darlinstone Dubar,CAA,So,Wing F,24.1,2.3125
Jaden Walker,B12,So,Wing G,41.4,3.2273
Collin Moore,SB,So,Wing G,32.2,4.45
Darius Miles,SEC,So,Stretch 4,5.5,2.375
Ryan Rollins,MAC,So,Wing G,74.7,13.6667
Eugene Brown III,B10,So,Stretch 4,14.2,1.2069
Kenny Hunter,CUSA,So,C,1.7,1.7
Abdou Tsimbila,A10,So,C,7.2,1.0625
Leo Colimerio,MWC,So,Wing G,20.2,1.5
Braxton Meah,MWC,So,C,21.7,2.7826
Tramon Mark,Amer,So,Wing G,49.9,7.8438
Michael Ofoegbu,MWC,So,PF/C,7.6,3.3333
Max Murrell,P12,So,Wing F,15.1,2.2857
Davion Bradford,B12,So,C,52.9,7.6897
Lance Ware,SEC,So,C,24.3,1.9524
Ty Berry,B10,So,Combo G,32.0,5.0909
Cam'Ron Fletcher,ACC,So,Wing G,5.8,1.6667
Keith Dinwiddie Jr.,MWC,So,Pure PG,2.6,5.1429
John Hugley,ACC,So,C,11.8,5.1429
Femi Odukale,ACC,So,Combo G,50.9,6.6364
Woody Newton,B12,So,Stretch 4,7.7,3.4545
Josiah Fulcher,MAC,So,Wing G,44.5,6.0
Marcus Bagley,P12,So,Stretch 4,34.7,10.8333
William Jeffress Jr.,ACC,So,Wing G,31.1,2.4375
Myles Wilmoth,BE,So,Wing F,34.8,1.7083
Boubacar Coulibaly,P12,So,C,3.4,1.3333
Eduardo Andre,B10,So,C,15.5,2.65
Zach Loveday,B12,So,C,4.7,2.1538
Zed Key,B10,So,C,29.0,5.1935
Cameron Matthews,SEC,So,Wing G,39.3,2.6774
Justin Lewis,BE,So,PF/C,40.5,7.7619
Desmond Polk,OVC,So,Combo G,45.6,3.6923
Steven Crowl,B10,So,C,3.1,0.6667
Jamaine Mann,SEC,So,Wing F,52.1,6.7692
Efe Abogidi,P12,So,PF/C,59.4,8.9259
R.J. Blakney,A10,So,Stretch 4,24.0,4.7647
Colby Jones,BE,So,Wing G,49.1,7.6667
Mady Sissoko,B10,So,C,12.1,1.08
Posh Alexander,BE,So,Scoring PG,70.9,10.92
Jaemyn Brakefield,SEC,So,Stretch 4,28.5,3.5455
Earl Timberlake,Amer,So,Wing G,17.6,9.2857
Michael Graham,CAA,So,C,19.4,4.1765
Rubin Jones,CUSA,So,Combo G,42.6,6.2273
Matthew Murrell,SEC,So,Wing G,42.8,4.2143
Zach Edey,B10,So,C,36.4,8.6786
K.D. Johnson,SEC,So,Combo G,35.8,13.5
Jackson Threadgill,CUSA,So,Wing G,29.5,3.4
Clifford Omoruyi,B10,So,PF/C,30.5,3.7826
Josh Gray,SEC,So,C,2.8,0.8
Henry Coleman III,SEC,So,PF/C,9.8,1.1053
Mark Williams,ACC,So,C,36.2,7.1304
Tyrin Lawrence,SEC,So,Wing G,9.0,2.8571
Reece Beekman,ACC,So,Combo G,73.0,4.72
Hassan Diarra,SEC,So,Combo G,49.3,5.8333
Lamont Butler,MWC,So,Scoring PG,30.7,4.3214
Jaden Ivey,B10,So,Wing G,49.3,11.1304
Micah Peavy,B12,So,PF/C,50.3,5.6552
Nick Jourdain,Amer,So,Stretch 4,22.3,2.6154
David N'Guessan,ACC,So,PF/C,22.7,2.619
Eric Gaines,SEC,So,Combo G,33.3,2.5172
Zimi Nwokeji,A10,So,Wing G,44.4,5.9091
Bayron Matos,Amer,So,C,41.5,6.0
Dishon Jackson,P12,So,C,44.0,7.1667
Obinna Anochili-Killen,CUSA,So,Wing F,42.0,5.7727
Pelle Larsson,P12,So,Combo G,65.8,8.16
Ian Martinez,B10,So,Wing G,39.2,5.16
Jaylon Gibson,ACC,So,C,8.0,0.8235
Cam Hayes,ACC,So,Scoring PG,54.1,7.8261
Shakeel Moore,SEC,So,Combo G,46.1,6.8
Nate Clover III,Sum,So,C,6.2,1.6
Jared Garcia,CUSA,So,PF/C,20.3,3.4762
Javonte Johnson,MWC,So,Wing F,31.5,2.9091
Hunter Dickinson,B10,So,C,64.6,14.0714
Keegan Murray,B10,So,PF/C,44.8,7.2258
Jalen Celestine,P12,So,Wing F,24.2,2.8182
Darius Hannah,MVC,So,C,27.9,3.8462
Derek Fountain,SEC,So,Stretch 4,27.8,5.3684
Jaylin Williams,SEC,So,PF/C,32.2,3.6923
Myles Stute,SEC,So,Stretch 4,31.4,3.8571
Joseph Bamisile,A10,So,Wing G,13.0,3.4615
Gabe Wiznitzer,ACC,So,C,8.7,1.0833
Davonte Davis,SEC,So,Wing G,55.6,8.4667
Isaiah Rivera,MWC,So,Wing G,23.1,2.6897
Dre Davis,ACC,So,Wing G,71.8,7.5
JJ Traynor,ACC,So,Wing F,32.4,3.9
Selton Miguel,B12,So,Combo G,69.2,7.1724
Tony Perkins,B10,So,Wing G,11.8,1.5833
Julian Strawther,WCC,So,Wing F,14.5,3.4
Jordan Geronimo,B10,So,Wing F,15.2,2.2381
Ricky Council IV,Amer,So,Wing G,36.5,7.0952
Chris Youngblood,ASun,So,Wing G,84.2,12.375
Wynton Brown,BSky,So,C,15.5,1.625
Christian Turner,SB,So,Wing F,32.6,2.7857
Sam Mennenga,A10,So,Stretch 4,57.5,6.0
Jamal West,SB,So,PF/C,64.1,5.6667
Kadary Richmond,BE,So,Scoring PG,52.4,6.3214
Even Brauns,OVC,So,C,23.2,3.9667
Dwon Odom,BE,So,Scoring PG,49.6,6.5789
Tre Coleman,MWC,So,Wing G,64.7,5.5
Andre Curbelo,B10,So,Scoring PG,53.2,9.0968
Bennedict Mathurin,P12,So,Wing F,61.9,10.7692
Vladislav Goldin,CUSA,So,C,4.0,1.9
Seryee Lewis,B12,So,C,7.5,2.0
Rongie Gordon,CUSA,So,PF/C,26.1,2.9615
Caleb Lohner,WCC,So,Stretch 4,59.4,7.0
Noah Taitz,P12,So,Wing G,32.5,3.3333
Jordan Wilmore,SEC,So,C,2.0,0.8
Justin Amadi,CAA,So,Wing F,61.5,9.1
Josiah Freeman,MAC,So,Wing G,44.5,5.0
Mylyjael Poteat,CUSA,So,C,13.4,4.4615
Szymon Zapala,MWC,So,C,3.8,1.0769
Kiyron Powell,Amer,So,C,4.3,2.2857
Dalen Terry,P12,So,Wing G,51.3,4.5769
Azuolas Tubelis,P12,So,PF/C,66.1,12.1923
Dominick Harris,WCC,So,Wing G,13.9,3.0
RJ Davis,ACC,So,Combo G,55.7,8.4483
Dylan Cardwell,SEC,So,PF/C,37.6,3.8148
Mikeal Brown-Jones,A10,So,PF/C,20.4,2.32
Ronnie DeGray III,SEC,So,Wing F,66.8,8.7333
Cairo McCrory,A10,So,PF/C,30.2,4.6364
Andre Screen,Pat,So,C,39.4,7.8
Javohn Garcia,A10,So,Scoring PG,62.9,10.4
Quadry Adams,A10,So,Combo G,8.5,2.2222
Emmanuel Okpomo,Amer,So,C,15.6,1.1429
Josh Banks,A10,So,Wing G,18.6,3.1429
Jamille Reynolds,Amer,So,C,27.7,5.0
Isaiah Adams,Amer,So,Wing G,59.1,9.8636
Sion James,Amer,So,Wing G,64.9,5.8261
Ty Harper,SB,So,Combo G,40.0,5.6
Franck Kepnang,P12,So,C,12.9,2.8125
David Jones,BE,So,Wing F,17.1,5.1111
Mac Etienne,P12,So,C,11.0,2.6154
